ParamName,ParamValue,TimeStamp,UeCRNTI
DLOccupyPRBNum,99,1.58E+12,0
ULSINR,24063,1.58E+12,416
DLMACRate,1848838,1.58E+12,416
MCS,3,1.58E+12,416
PDCPOccupBuffer,2344,1.58E+12,416
PDCPUnusedBuffer,14220,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
ULSINR,24063,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
CellDLMACRate,12465998,1.58E+12,0
DLMACRate,1533350,1.58E+12,416
MCS,2,1.58E+12,416
PDCPOccupBuffer,2680,1.58E+12,416
PDCPUnusedBuffer,13852,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
CellDLMACRate,13640478,1.58E+12,0
DLOccupyPRBNum,99,1.58E+12,0
ULSINR,27135,1.58E+12,416
DLMACRate,1601846,1.58E+12,416
MCS,3,1.58E+12,416
PDCPOccupBuffer,2992,1.58E+12,416
PDCPUnusedBuffer,13548,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
ULSINR,25087,1.58E+12,416
CellDLMACRate,11672062,1.58E+12,0
DLOccupyPRBNum,99,1.58E+12,0
DLMACRate,1933998,1.58E+12,416
MCS,3,1.58E+12,416
PDCPOccupBuffer,3344,1.58E+12,416
PDCPUnusedBuffer,13228,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
ULSINR,22527,1.58E+12,416
CellDLMACRate,10257438,1.58E+12,0
DLMACRate,1838926,1.58E+12,416
MCS,2,1.58E+12,416
PDCPOccupBuffer,3287,1.58E+12,416
PDCPUnusedBuffer,12844,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,431,1.58E+12,416
CellDLMACRate,14381854,1.58E+12,0
DLOccupyPRBNum,98,1.58E+12,0
ULSINR,20991,1.58E+12,416
DLMACRate,1364414,1.58E+12,416
MCS,2,1.58E+12,416
PDCPOccupBuffer,3146,1.58E+12,416
PDCPUnusedBuffer,13342,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,25,1.58E+12,416
CellDLMACRate,13319238,1.58E+12,0
DLOccupyPRBNum,99,1.58E+12,0
ULSINR,19455,1.58E+12,416
DLMACRate,1918142,1.58E+12,416
MCS,4,1.58E+12,416
PDCPOccupBuffer,3170,1.58E+12,416
PDCPUnusedBuffer,13126,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,275,1.58E+12,416
CellDLMACRate,9498286,1.58E+12,0
DLOccupyPRBNum,99,1.58E+12,0
ULSINR,22015,1.58E+12,416
DLMACRate,2216614,1.58E+12,416
MCS,4,1.58E+12,416
PDCPOccupBuffer,3011,1.58E+12,416
PDCPUnusedBuffer,13294,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,295,1.58E+12,416
ULSINR,22527,1.58E+12,416
CellDLMACRate,12435086,1.58E+12,0
DLOccupyPRBNum,99,1.58E+12,0
DLMACRate,2085758,1.58E+12,416
MCS,3,1.58E+12,416
PDCPOccupBuffer,2819,1.58E+12,416
PDCPUnusedBuffer,13444,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,322,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
ULSINR,24575,1.58E+12,416
CellDLMACRate,9551494,1.58E+12,0
DLMACRate,2111070,1.58E+12,416
MCS,4,1.58E+12,416
PDCPOccupBuffer,2590,1.58E+12,416
PDCPUnusedBuffer,13678,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,321,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
CellDLMACRate,8721782,1.58E+12,0
ULSINR,27135,1.58E+12,416
DLMACRate,2966150,1.58E+12,416
MCS,4,1.58E+12,416
PDCPOccupBuffer,2333,1.58E+12,416
PDCPUnusedBuffer,13902,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,437,1.58E+12,416
CellDLMACRate,11754838,1.58E+12,0
DLOccupyPRBNum,99,1.58E+12,0
ULSINR,25599,1.58E+12,416
DLMACRate,1981286,1.58E+12,416
MCS,4,1.58E+12,416
PDCPOccupBuffer,1998,1.58E+12,416
PDCPUnusedBuffer,14192,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,385,1.58E+12,416
CellDLMACRate,5791086,1.58E+12,0
ULSINR,25599,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
DLMACRate,2081358,1.58E+12,416
MCS,5,1.58E+12,416
PDCPOccupBuffer,1758,1.58E+12,416
PDCPUnusedBuffer,14572,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,244,1.58E+12,416
ULSINR,24063,1.58E+12,416
DLOccupyPRBNum,97,1.58E+12,0
CellDLMACRate,7040798,1.58E+12,0
DLMACRate,1662670,1.58E+12,416
MCS,5,1.58E+12,416
PDCPOccupBuffer,1678,1.58E+12,416
PDCPUnusedBuffer,14672,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,185,1.58E+12,416
ULSINR,19967,1.58E+12,416
CellDLMACRate,10510638,1.58E+12,0
DLOccupyPRBNum,99,1.58E+12,0
DLMACRate,2890174,1.58E+12,416
MCS,5,1.58E+12,416
PDCPOccupBuffer,1456,1.58E+12,416
PDCPUnusedBuffer,14732,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,471,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
CellDLMACRate,11992094,1.58E+12,0
ULSINR,26623,1.58E+12,416
DLMACRate,2782854,1.58E+12,416
MCS,6,1.58E+12,416
PDCPOccupBuffer,1196,1.58E+12,416
PDCPUnusedBuffer,15116,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,333,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
CellDLMACRate,10998990,1.58E+12,0
ULSINR,23039,1.58E+12,416
DLMACRate,2569550,1.58E+12,416
MCS,6,1.58E+12,416
PDCPOccupBuffer,904,1.58E+12,416
PDCPUnusedBuffer,15252,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,447,1.58E+12,416
CellDLMACRate,5320870,1.58E+12,0
ULSINR,24063,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
DLMACRate,1977766,1.58E+12,416
MCS,6,1.58E+12,416
PDCPOccupBuffer,684,1.58E+12,416
PDCPUnusedBuffer,15700,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,186,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
ULSINR,25599,1.58E+12,416
CellDLMACRate,7498950,1.58E+12,0
DLMACRate,1778382,1.58E+12,416
MCS,6,1.58E+12,416
PDCPOccupBuffer,660,1.58E+12,416
PDCPUnusedBuffer,15692,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,202,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
ULSINR,21503,1.58E+12,416
CellDLMACRate,11126966,1.58E+12,0
DLMACRate,3373230,1.58E+12,416
MCS,5,1.58E+12,416
PDCPOccupBuffer,508,1.58E+12,416
PDCPUnusedBuffer,15748,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,459,1.58E+12,416
ULSINR,24575,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
CellDLMACRate,6828022,1.58E+12,0
DLMACRate,3374550,1.58E+12,416
MCS,5,1.58E+12,416
PDCPOccupBuffer,272,1.58E+12,416
PDCPUnusedBuffer,15996,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,423,1.58E+12,416
DLOccupyPRBNum,95,1.58E+12,0
ULSINR,23039,1.58E+12,416
CellDLMACRate,3662182,1.58E+12,0
DLMACRate,1468366,1.58E+12,416
MCS,5,1.58E+12,416
PDCPOccupBuffer,93,1.58E+12,416
PDCPUnusedBuffer,16220,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,201,1.58E+12,416
ULSINR,23039,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
CellDLMACRate,2613398,1.58E+12,0
DLMACRate,1601758,1.58E+12,416
MCS,5,1.58E+12,416
PDCPOccupBuffer,94,1.58E+12,416
PDCPUnusedBuffer,16354,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,65,1.58E+12,416
DLOccupyPRBNum,97,1.58E+12,0
CellDLMACRate,6994302,1.58E+12,0
ULSINR,26623,1.58E+12,416
DLMACRate,1577678,1.58E+12,416
MCS,5,1.58E+12,416
PDCPOccupBuffer,164,1.58E+12,416
PDCPUnusedBuffer,16218,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,140,1.58E+12,416
CellDLMACRate,11158214,1.58E+12,0
ULSINR,25599,1.58E+12,416
DLOccupyPRBNum,97,1.58E+12,0
DLMACRate,2389022,1.58E+12,416
MCS,5,1.58E+12,416
PDCPOccupBuffer,151,1.58E+12,416
PDCPUnusedBuffer,16214,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,249,1.58E+12,416
ULSINR,24063,1.58E+12,416
CellDLMACRate,11578430,1.58E+12,0
DLOccupyPRBNum,99,1.58E+12,0
DLMACRate,2296270,1.58E+12,416
MCS,5,1.58E+12,416
PDCPOccupBuffer,67,1.58E+12,416
PDCPUnusedBuffer,8052,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,293,1.58E+12,416
ULSINR,22015,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
CellDLMACRate,11998014,1.58E+12,0
DLMACRate,3343638,1.58E+12,416
MCS,5,1.58E+12,416
PDCPOccupBuffer,41,1.58E+12,416
PDCPUnusedBuffer,16382,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,290,1.58E+12,416
ULSINR,21503,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
CellDLMACRate,9038710,1.58E+12,0
MCS,4,1.58E+12,416
DLMACRate,1574102,1.58E+12,416
PDCPUnusedBuffer,16296,1.58E+12,416
PDCPOccupBuffer,88,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,151,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
CellDLMACRate,13465646,1.58E+12,0
ULSINR,25087,1.58E+12,416
DLMACRate,1687790,1.58E+12,416
MCS,3,1.58E+12,416
PDCPOccupBuffer,45,1.58E+12,416
PDCPUnusedBuffer,16288,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,214,1.58E+12,416
CellDLMACRate,8084774,1.58E+12,0
ULSINR,23551,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
DLMACRate,1616502,1.58E+12,416
MCS,3,1.58E+12,416
PDCPOccupBuffer,160,1.58E+12,416
PDCPUnusedBuffer,16382,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,0,1.58E+12,416
ULSINR,20991,1.58E+12,416
CellDLMACRate,11474510,1.58E+12,0
DLOccupyPRBNum,99,1.58E+12,0
DLMACRate,1702550,1.58E+12,416
MCS,3,1.58E+12,416
PDCPOccupBuffer,491,1.58E+12,416
PDCPUnusedBuffer,16058,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
ULSINR,23551,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
CellDLMACRate,11696102,1.58E+12,0
MCS,2,1.58E+12,416
DLMACRate,894342,1.58E+12,416
PDCPOccupBuffer,744,1.58E+12,416
PDCPUnusedBuffer,15720,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
CellDLMACRate,16014190,1.58E+12,0
ULSINR,23551,1.58E+12,416
DLMACRate,1136358,1.58E+12,416
MCS,2,1.58E+12,416
PDCPOccupBuffer,941,1.58E+12,416
PDCPUnusedBuffer,15552,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
CellDLMACRate,13934870,1.58E+12,0
DLOccupyPRBNum,99,1.58E+12,0
ULSINR,25087,1.58E+12,416
DLMACRate,1605206,1.58E+12,416
MCS,3,1.58E+12,416
PDCPUnusedBuffer,15326,1.58E+12,416
PDCPOccupBuffer,1213,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
ULSINR,22015,1.58E+12,416
DLOccupyPRBNum,98,1.58E+12,0
CellDLMACRate,10590294,1.58E+12,0
DLMACRate,1217894,1.58E+12,416
MCS,3,1.58E+12,416
PDCPOccupBuffer,1111,1.58E+12,416
PDCPUnusedBuffer,15008,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,372,1.58E+12,416
CellDLMACRate,9873342,1.58E+12,0
ULSINR,-1,1.58E+12,416
DLOccupyPRBNum,97,1.58E+12,0
DLMACRate,937758,1.58E+12,416
MCS,3,1.58E+12,416
PDCPUnusedBuffer,15530,1.58E+12,416
PDCPOccupBuffer,944,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
ULSINR,-1,1.58E+12,416
CellDLMACRate,8399326,1.58E+12,0
DLOccupyPRBNum,99,1.58E+12,0
DLMACRate,976654,1.58E+12,416
MCS,3,1.58E+12,416
PDCPOccupBuffer,1135,1.58E+12,416
PDCPUnusedBuffer,15342,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
ULSINR,21503,1.58E+12,416
CellDLMACRate,9874462,1.58E+12,0
DLOccupyPRBNum,98,1.58E+12,0
DLMACRate,949310,1.58E+12,416
MCS,3,1.58E+12,416
PDCPOccupBuffer,1199,1.58E+12,416
PDCPUnusedBuffer,15148,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPSDUNum,120,1.58E+12,416
ULSINR,22015,1.58E+12,416
CellDLMACRate,10740422,1.58E+12,0
DLOccupyPRBNum,99,1.58E+12,0
DLMACRate,1030230,1.58E+12,416
MCS,3,1.58E+12,416
PDCPOccupBuffer,1103,1.58E+12,416
PDCPUnusedBuffer,15214,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,148,1.58E+12,416
ULSINR,22527,1.58E+12,416
CellDLMACRate,9332526,1.58E+12,0
DLOccupyPRBNum,99,1.58E+12,0
DLMACRate,1269886,1.58E+12,416
MCS,4,1.58E+12,416
PDCPOccupBuffer,1134,1.58E+12,416
PDCPUnusedBuffer,15340,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,27,1.58E+12,416
ULSINR,23551,1.58E+12,416
CellDLMACRate,8216302,1.58E+12,0
DLOccupyPRBNum,99,1.58E+12,0
MCS,4,1.58E+12,416
DLMACRate,1107094,1.58E+12,416
PDCPOccupBuffer,1208,1.58E+12,416
PDCPUnusedBuffer,15152,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,125,1.58E+12,416
ULSINR,21503,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
CellDLMACRate,7905942,1.58E+12,0
DLMACRate,1434110,1.58E+12,416
MCS,4,1.58E+12,416
PDCPOccupBuffer,1149,1.58E+12,416
PDCPUnusedBuffer,15192,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,175,1.58E+12,416
CellDLMACRate,10265342,1.58E+12,0
DLOccupyPRBNum,99,1.58E+12,0
ULSINR,23551,1.58E+12,416
DLMACRate,2688142,1.58E+12,416
MCS,5,1.58E+12,416
PDCPOccupBuffer,972,1.58E+12,416
PDCPUnusedBuffer,7078,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,405,1.58E+12,416
CellDLMACRate,14500286,1.58E+12,0
ULSINR,24063,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
DLMACRate,2467446,1.58E+12,416
MCS,6,1.58E+12,416
PDCPOccupBuffer,647,1.58E+12,416
PDCPUnusedBuffer,15546,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,424,1.58E+12,416
CellDLMACRate,11015494,1.58E+12,0
ULSINR,21503,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
DLMACRate,1513734,1.58E+12,416
MCS,6,1.58E+12,416
PDCPOccupBuffer,470,1.58E+12,416
PDCPUnusedBuffer,15920,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,110,1.58E+12,416
DLOccupyPRBNum,93,1.58E+12,0
CellDLMACRate,13484998,1.58E+12,0
ULSINR,22015,1.58E+12,416
DLMACRate,2122886,1.58E+12,416
MCS,7,1.58E+12,416
PDCPOccupBuffer,443,1.58E+12,416
PDCPUnusedBuffer,15900,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,236,1.58E+12,416
CellDLMACRate,16696206,1.58E+12,0
ULSINR,21503,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
DLMACRate,3179318,1.58E+12,416
MCS,7,1.58E+12,416
PDCPOccupBuffer,372,1.58E+12,416
PDCPUnusedBuffer,15974,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,350,1.58E+12,416
ULSINR,23039,1.58E+12,416
DLOccupyPRBNum,99,1.58E+12,0
CellDLMACRate,15749358,1.58E+12,0
DLMACRate,2878222,1.58E+12,416
MCS,8,1.58E+12,416
PDCPOccupBuffer,202,1.58E+12,416
PDCPUnusedBuffer,16042,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,422,1.58E+12,416
ULSINR,24575,1.58E+12,416
CellDLMACRate,8996446,1.58E+12,0
DLOccupyPRBNum,99,1.58E+12,0
DLMACRate,3075278,1.58E+12,416
MCS,9,1.58E+12,416
PDCPOccupBuffer,158,1.58E+12,416
PDCPUnusedBuffer,16314,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,210,1.58E+12,416
CellDLMACRate,13059990,1.58E+12,0
DLOccupyPRBNum,99,1.58E+12,0
ULSINR,20991,1.58E+12,416
DLMACRate,5371414,1.58E+12,416
MCS,10,1.58E+12,416
PDCPOccupBuffer,200,1.58E+12,416
PDCPUnusedBuffer,16130,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
